"","id","change","maptaxlot","permits"
"1",1,NA,"146260001700 146260001900 146260002000",NA
"2",2,NA,"12616D003000 126210002100 126210002200","138-18-001408-STR 138-17-000681-MD 138-17-000622-MD"
"3",3,NA,"12616D003000 126210000204",NA
"4",4,NA,"125180000206 125180000290",NA
"5",5,NA,"12610D001900 12611C002600","138-18-001563-STR 138-16-000460-STR 138-LU16009"
"6",6,NA,"12610B001500 12610B001600 12610B0ROADS",NA
"7",7,NA,"12610A000500 12610A000600 12610A000700 12610A001300","138-18-000857-STR 138-FPD140024"
"8",8,NA,"126090000500",NA
"9",9,NA,"126010000432 126010000433",NA
"10",10,NA,"11636D004400",NA
"11",11,NA,"11634D000600 11634D000700 116350000203",NA
"12",12,NA,"11634D000200 116350000203",NA
"13",13,NA,"11530C002000 115310000200","138-B1500250 138-LU15049"
"14",14,NA,"11530C002000 11530C0ROADS","138-B1500250"
"15",15,NA,"11530DCROADS 11530DD00200 11530DD00306 11530DD02300 11530DD03700","138-B1501421 138-B1500513"
"16",16,NA,"11519C001400",NA
"17",17,NA,"11519DA01200 11519DAROADS",NA
"18",18,NA,"115040000100 11504B000800 11504B000900 11504B0ROADS",NA
"19",19,NA,"11504B000500 11504B000501",NA
"20",20,NA,"10534C000600 10534C000700 11503B001100 11503B001200","138-18-001108-STR"
"21",21,NA,"10434AA02500",NA
"22",22,NA,"10534B002000 10534C001800","138-18-000077-STR 138-17-000970-STR"
"23",23,NA,"10526C000100 10526C000300",NA
"24",24,NA,"10430B001700 10430B002700",NA
"25",25,NA,"10430B001401 10430B001803",NA
"26",26,NA,"10419D0ROADS 10430ABROADS",NA
"27",27,NA,"11504B000203 11504B000205","138-MI150025 138-B1500316"
"28",28,NA,"12611B000700 12611C000600 12611C004300","138-16-000223-MD 138-LU15046"
"29",29,NA,"11530C002000","138-B1500250"
"30",30,NA,"10431BA00900 10431BB00900 10431BB01001","138-B1400716 138-B1400556"
"31",31,NA,"104340000104 1043400ROADS 10434AAROADS","138-B1401190"
"32",32,NA,"126150000700 12615B004800","138-B1500517"
"33",33,NA,"12610B001700 12610B001900 12610B0ROADS","138-B1400697"
"34",34,NA,"11419C001600 115240001401","138-B1500851"
"35",35,NA,"11623A001700","138-17-000264-STR 138-17-000265-DWL"
"36",36,NA,"125180000700 125180000801","138-17-000487-STR 138-MI140015"
"37",37,NA,"12610D001800 12610D001900 12610D0ROADS","138-18-001563-STR 138-16-000460-STR 138-LU16009"
"38",38,NA,"11504A000402 11504A000403","138-18-000928-STR 138-18-000927-STR"
"39",39,NA,"12615B003800","138-18-000182-STR"
"40",40,NA,"12615B005500 12615B005600","138-18-000666-STR 138-17-000335-DWL"
"41",41,NA,"11519AD01400","138-17-000375-STR 138-16-000035-STR"
"42",42,NA,"10431BD00700","138-18-001084-STR"
"43",43,NA,"10534C000300 10534C000400 10534C001300 10534C001400","138-17-001233-STR-01 138-17-001121-STR 138-17-000728-STR 138-17-000532-STR 138-16-000080-STR 138-B1600203 138-16-000339-DWL 138-FPD160001 138-LU16001 138-FPD150079"
"44",44,NA,"11529B000100 11529B000303 11529B001000","138-17-001253-STR-01 138-16-001155-STR 138-B1400790"
"45",45,NA,"126040001100 12604C000600","138-18-001505-AGE"
"46",46,NA,"12616D003000 126210002100","138-18-001408-STR 138-17-000622-MD"
"47",47,NA,"12616D000800 12616D002700","138-16-000173-STR-01 138-16-000173-STR 138-16-000004-STR"
"48",48,NA,"125180000700 125180001800","138-17-000487-STR 138-MI140015"
"49",49,NA,"14818B001601 14818B001602 14818B001702","138-17-001735-AGE 138-17-001734-AGE 138-17-001735-AGE 138-17-001734-AGE"
"50",50,NA,"10426C000500 10426C003800","138-17-000295-STR"
"51",51,NA,"146230001101","138-17-000785-DWL"
"52",52,NA,"10534A001100 10534A0ROADS 10534B002200","138-17-000844-STR"
"53",53,NA,"11530D000100 11530D000101 11530D000102","138-18-001366-STR"
"54",54,NA,"146250002100 146250002200","138-18-000403-STR 138-17-001572-DWL"
